,estimated_f2b,departure_time,log_likelihood,trips_number,gradient,asymptotic_confidence
0,0.0,2020-04-02 05:24:10,-87.56712733781538,19,-19.0,0.0027700831024930752
1,0.0,2020-04-02 05:32:29,-17.59809408833535,4,-3.999999999999999,0.06250000000000003
2,0.0,2020-04-02 05:45:15,-57.619348254173765,12,-7.6982786893059,0.010696438247395185
3,0.0,2020-04-02 05:46:36,-30.754544487513307,6,-3.9155528684230028,0.04514623033955797
4,0.0,2020-04-02 05:51:59,-24.046555817597966,5,-4.995416422209123,-7.473082522942634e-06
5,0.0,2020-04-02 05:53:18,-5.067635227308275,1,-2.80147557145172e-05,-237613.41464808854
6,0.0,2020-04-02 06:02:53,-85.79739926319736,18,-11.5449449399053,0.002284292208109936
7,0.0,2020-04-02 06:04:10,-49.00568890533074,9,-2.9994472252642677,0.05211958577923513
8,0.0,2020-04-02 06:10:43,-72.54429748200234,15,-11.53378776006786,0.004417029946068371
9,0.29218798828125003,2020-04-02 06:12:03,-40.889739673402914,7,-0.0006072665370804309,0.011978952386278061
10,0.0,2020-04-02 06:14:41,-18.831056788985922,3,-2.0455286172661573,0.17294710778616687
11,0.0,2020-04-02 06:18:00,-90.74498146507267,15,-11.12240342447949,0.006249577361271907
12,0.0,2020-04-02 06:23:07,-90.02687089952818,18,-16.939216490109388,0.0033083055020452327
13,0.10755834960937499,2020-04-02 06:25:50,-54.24487989316597,9,-0.009229786624821656,0.00273197290814811
14,0.0,2020-04-02 06:31:46,-79.02469761878193,16,-12.999070659224559,0.004807692110007282
15,0.0,2020-04-02 06:35:00,-97.76526490594354,18,-10.90635844695117,0.00378728465163282
16,0.1171922607421875,2020-04-02 06:37:07,-76.22959563515028,13,-0.005011465873421536,0.0015050888347787226
17,0.0,2020-04-02 06:41:28,-83.03561100412912,15,-14.99998725223646,0.004444454365626153
18,0.0,2020-04-02 06:44:04,-37.51101374135146,6,-4.000000002304719,0.041666666666736914
19,0.0,2020-04-02 06:48:40,-130.64775481691106,27,-21.340108466808086,0.001838759335488742
20,0.0,2020-04-02 06:50:14,-89.81726805199317,16,-1.9682353927249812,0.009168679640848228
21,0.0,2020-04-02 06:51:37,-91.8859175872259,14,-11.067609513326172,0.006943249558418749
22,0.0,2020-04-02 06:53:20,-24.527716534836912,5,-2.9999881744467216,0.06666666831061582
23,0.0,2020-04-02 06:59:33,-199.9366947611356,38,-33.997424938905695,0.0007739937308731366
24,0.10493646240234375,2020-04-02 07:03:05,-102.09144321492872,19,-0.005128725727105987,0.0003644441048234449
25,0.0,2020-04-02 07:06:01,-163.77778611785885,32,-20.480114094709343,0.0010994384697024095
26,0.0,2020-04-02 07:09:10,-175.77751738368391,32,-24.988740570806744,0.0012510297916501897
27,0.0,2020-04-02 07:17:01,-349.2624910997882,66,-18.112748791058326,2.791806208485108e-05
28,0.04826101684570313,2020-04-02 07:18:39,-254.89303754474085,43,-0.0017919689978000974,0.00010987268689722631
29,0.0,2020-04-02 07:21:52,-232.48712335190473,42,-28.366666020317453,0.0008328624524932107
30,0.0,2020-04-02 07:24:18,-215.59645168859774,39,-22.42475170140607,0.001160702288697014
31,0.0,2020-04-02 07:26:42,-370.15943810787786,60,-34.30141559164305,0.00035992234074657564
32,0.02476692581176758,2020-04-02 07:30:34,-386.5502609916387,70,-0.006043419500192826,7.827284414551238e-06
33,0.0,2020-04-02 07:31:55,-229.16741610645087,36,-4.3481655545977755,0.00016103089407509724
34,0.0,2020-04-02 07:34:48,-354.1593874163177,61,-17.292465527906174,2.9819930303044334e-05
35,0.12019523620605471,2020-04-02 07:38:58,-502.3864148509853,87,-0.005440326768182402,3.276376034256767e-05
36,0.07797065734863282,2020-04-02 07:40:55,-478.13250633996483,79,0.004326623683233333,3.341324347490952e-05
37,0.010136947631835938,2020-04-02 07:42:52,-355.66314722547725,61,-0.004389440172833384,4.676070224273644e-05
38,0.0,2020-04-02 07:44:30,-340.2945993313403,60,-33.86079755458875,0.0005540927494294954
39,0.0,2020-04-02 07:45:50,-262.20970434680567,45,-15.392749147541224,0.0014400243883017
40,0.0,2020-04-02 07:49:32,-404.062953313485,73,-44.47567965844956,9.802238243330798e-05
41,0.10094265747070313,2020-04-02 07:52:02,-382.0840638789701,63,-0.0031104973032288763,0.00012043769637556734
42,0.05827601623535156,2020-04-02 07:53:46,-417.1738918736871,71,-0.003568298793865221,3.620497488900768e-05
43,0.035448829650878894,2020-04-02 07:55:28,-454.565751445197,76,0.005104306270740572,2.513512613290911e-05
44,0.004748359680175781,2020-04-02 07:57:16,-369.6752865021372,60,0.0038256681115476088,2.2444885936766142e-05
45,0.027293540954589843,2020-04-02 07:59:03,-309.9664205112799,50,-0.0023304105273500575,3.6354524729798246e-05
46,0.0,2020-04-02 08:01:19,-345.96679478529137,51,-36.8974495335394,0.0005414470615687673
47,0.025763471603393553,2020-04-02 08:07:47,-944.1291722077857,161,-0.005818608454331464,1.5305425400697732e-06
48,0.4645465850830078,2020-04-02 08:13:06,-1241.2314599972974,200,-0.0004412830892610575,8.566172649799309e-06
49,0.11841936492919922,2020-04-02 08:14:37,-1088.2132631093264,171,-0.0007189789833643712,8.14218656968441e-06
50,0.08141569519042968,2020-04-02 08:16:55,-883.0788715613577,143,0.0022535226926356333,1.4427892927708501e-05
51,0.0,2020-04-02 08:18:55,-640.5246704000006,104,-34.603116651777015,6.48080326322375e-05
52,0.5606417999267579,2020-04-02 08:24:16,-1333.1645117177272,230,0.006446934534498405,8.610427276339905e-06
