,estimated_f2b,departure_time,log_likelihood,trips_number,gradient,asymptotic_confidence
0,0.0,2020-04-02 05:27:45,-108.5708650785685,22,-19.9968839825346,0.002272726169536866
1,0.0,2020-04-02 05:36:03,-76.9243811298371,16,-13.999999470766532,0.0044642857142864435
2,0.008490646362304687,2020-04-02 05:48:37,-204.67013252572562,41,0.0034972721064008283,0.0001431752568948217
3,0.0,2020-04-02 05:50:01,-131.4851848899862,26,-3.0467882200809218,0.05189467938498897
4,0.0,2020-04-02 05:55:13,-119.28993486946467,22,-10.980056467301836,0.004162145572238585
5,0.0,2020-04-02 05:56:22,-92.0171988351451,17,25.07373792417305,0.00019096479765151662
6,0.0641905059814453,2020-04-02 06:05:59,-284.35157411375474,50,-0.005013927444753596,4.675009984448959e-05
7,0.3293822021484375,2020-04-02 06:07:19,-198.45907241590922,35,-0.003661949198572754,0.0005748911748303146
8,0.07321467590332031,2020-04-02 06:14:10,-252.76499497386226,47,-0.005562072842858701,4.055587749473313e-05
9,0.491939208984375,2020-04-02 06:15:42,-159.28662740768746,28,-0.002196479878984789,0.0014151008068934811
10,0.0,2020-04-02 06:17:58,-168.68692565839893,30,-17.564326075028028,0.0015142186692300396
11,0.0,2020-04-02 06:21:10,-145.04303425132827,27,-9.653428821298267,0.0006213331332941289
12,0.0,2020-04-02 06:26:50,-193.83444277890484,37,-27.88926693744849,0.0009649421875658296
13,0.036310089111328124,2020-04-02 06:29:16,-162.25775838426725,29,0.00038003931576713335,0.00014074658280750522
14,0.06306248474121093,2020-04-02 06:35:01,-197.60099283517593,37,-5.9739080304765935e-06,5.370720457879783e-05
15,0.09603424072265625,2020-04-02 06:38:17,-191.74993576047382,34,0.0035026860351889955,0.0001969743827624234
16,0.0,2020-04-02 06:40:14,-175.51797141417248,32,-11.365497012668351,0.0030196810489792818
17,0.0,2020-04-02 06:44:50,-240.1463239035009,45,-10.863572120998901,0.00019016883006666075
18,0.07088241577148435,2020-04-02 06:47:16,-208.13987578910584,39,0.0034761609026576767,0.00011961377864701742
19,0.0070044021606445305,2020-04-02 06:51:50,-271.6527077100017,53,0.006129243125726935,2.0483221124931215e-05
20,0.0,2020-04-02 06:53:34,-292.3113321859733,55,-6.461308384590668,0.002405218452031108
21,0.051370697021484384,2020-04-02 06:54:57,-169.8496825551787,31,-0.0055787509796753915,0.00015072375448249982
22,0.02210311889648437,2020-04-02 06:58:47,-215.72208970746388,40,0.0049374571121429955,0.00012669207058974515
23,0.0,2020-04-02 07:02:48,-242.7475223078053,48,-27.976775678383458,0.0007442087597855886
24,0.04289529418945313,2020-04-02 07:06:38,-325.71251734585246,60,0.005225958651117758,7.080663485645256e-05
25,0.13978317260742185,2020-04-02 07:09:14,-200.36661493957897,34,0.003073419106675024,0.00015992050797280217
26,0.04306297302246094,2020-04-02 07:12:25,-251.26721558663047,46,-0.0017852756065463104,4.1572716758765975e-05
27,0.060737846374511725,2020-04-02 07:20:21,-625.8682392253019,114,-0.006462329683775581,1.1033761831084942e-05
28,0.1722214050292969,2020-04-02 07:22:09,-435.03545053049845,75,0.004635035733113024,6.618507189318425e-05
29,0.10729920959472655,2020-04-02 07:25:51,-455.5990580112268,84,-0.005489226056203298,2.9237985516869173e-05
30,0.06693434143066407,2020-04-02 07:27:30,-424.80429362789766,78,0.005464738377318756,4.5831451856766293e-05
31,0.05925160217285157,2020-04-02 07:30:08,-418.1469390636184,74,0.0010365801355415073,2.7751646771377495e-05
32,0.04567342758178711,2020-04-02 07:33:48,-557.0389978792823,108,-0.0013858658539299823,6.264698328535356e-06
33,0.24090875244140625,2020-04-02 07:35:26,-324.0851636135979,60,6.479455234575937e-06,0.00018519891305022099
34,0.0,2020-04-02 07:38:36,-487.4271576525405,93,-54.56686481767488,0.00015327976853767508
35,0.12269517517089842,2020-04-02 07:42:28,-485.3306958301094,91,-0.0032919883139361783,2.6079631127852025e-05
36,0.12984439086914062,2020-04-02 07:44:14,-440.3221964651436,80,0.0009947789437940032,6.978834272679588e-05
37,0.0,2020-04-02 07:46:14,-422.9479610534942,78,-4.727797101346604,6.832821026383826e-05
38,0.09234530639648436,2020-04-02 07:47:47,-380.6643088566925,68,-0.00704902959501208,6.086145164771213e-05
39,0.06569961547851563,2020-04-02 07:49:21,-359.0052277458433,66,-0.004000784896476928,5.7896786211017774e-05
40,0.025765377044677733,2020-04-02 07:52:55,-433.2684895007406,82,0.001046368476210041,9.265184233992359e-06
41,0.0,2020-04-02 07:55:28,-474.693141181484,85,-6.814508579888906,0.0002070806942759492
42,0.05545596313476562,2020-04-02 07:57:07,-656.6898565885035,115,0.003326756996953492,2.8624420985724846e-05
43,0.16527035522460937,2020-04-02 07:58:44,-600.2410027709132,107,0.00605777833708121,3.879423858523892e-05
44,0.05026554107666015,2020-04-02 08:00:37,-524.3718780846299,95,0.0005403963327883111,1.4240553126127797e-05
45,0.034168373107910155,2020-04-02 08:02:43,-482.6118004155207,85,-0.0034488801731296093,1.4134295482337695e-05
46,0.03924827957153321,2020-04-02 08:07:38,-994.8070956235564,172,-0.004473198104610443,2.635345513293343e-06
47,0.2066184310913086,2020-04-02 08:13:17,-1334.465613665913,212,0.00036151852193400504,5.864202140830214e-06
48,0.4354314422607422,2020-04-02 08:16:41,-1348.4514012514223,209,0.006084191642228953,9.164022008405151e-06
49,0.17796821594238282,2020-04-02 08:18:09,-1103.1809439036738,172,0.001658634622651073,1.2359381651146741e-05
50,0.30221823120117186,2020-04-02 08:20:19,-1181.0175794755064,187,-0.006525267510948618,2.4109294188428676e-05
