,estimated_f2b,log_likelihood,trips_number,gradient,hessian_eigenvalues,asymptotic_confidence
0,0.0,-101.23766031547261,21.0,-19.999391217575905,-20.00000037061604,4.372158016217202e-06
1,0.0,-69.08599577949381,15.0,-13.999999994394036,-13.99999999999993,6.24594013890974e-06
2,0.027533884048461917,-201.77007661104804,41.0,-5.856490684363891e-05,-457.04001530183245,3.428409538877617e-07
3,0.0,-136.45412467425678,27.0,-3.975163865157945,-702.3545800630718,4.8295147159984506e-05
4,0.0,-106.64972981946401,21.0,-10.645827457873638,-315.01858987975567,8.39638671605652e-06
5,0.0,-92.41347288614479,18.0,13.048879700895435,-1.8049367335008883,1.0342583280539435e-06
6,0.0749446964263916,-270.6977842934968,50.0,-2.416140724204041e-05,-84.57185150145172,2.614808191565797e-07
7,0.276231050491333,-216.87960080811882,40.0,5.158442666576904e-05,-524.6856544460406,1.6322447444750221e-06
8,0.07320181846618654,-243.265651014552,46.0,2.4075875371787347e-05,-818.6082878883288,1.6526026266892088e-07
9,0.45965809822082515,-171.64788530965444,31.0,1.0870283593249208e-05,-10.413998998063976,3.490701569668138e-06
10,0.0,-164.51714647516584,30.0,-18.86219862188638,-55.89719442433114,4.248613200780021e-06
11,0.0,-135.10676912280917,26.0,-14.180110762681647,-24.40410365350375,2.929626692416449e-06
12,0.0,-183.1981857585425,37.0,-27.95379130166647,-20.581015653235987,3.1240717107885584e-06
13,0.002104482650756836,-173.89293569749745,32.0,-2.5961323252499113e-05,-29.847885480257506,3.700394033126985e-07
14,0.058716859817504886,-193.1341790716136,37.0,0.0003042535504624855,-143.56104570435474,1.6665850642149317e-07
15,0.11618651390075682,-190.88175117315816,34.0,6.015736571649e-05,-27.990126334621657,6.260551387352563e-07
16,0.0,-174.27631509223542,32.0,-12.358574527763839,-11.257389325980178,7.750668947738372e-06
17,0.0,-223.21055160981777,44.0,-19.537494516417148,-236.30770747011917,1.6373644577698656e-06
18,0.06545044898986815,-201.1023689369999,39.0,6.373959017413888e-05,-7.3296425245690155,3.5387049163359315e-07
19,0.013787240982055663,-259.4746153042524,51.0,-4.155686071305453e-05,-53.4069930360734,1.1952245859083785e-07
20,0.0,-307.85354638863805,58.0,-7.515625738279063,-250.08769826533145,1.1913061412684794e-05
21,0.0,-177.5307543979322,33.0,-0.46691387162336373,-236.78717158805037,3.6931088577447414e-07
22,0.0,-204.78698715926723,39.0,-9.817450159239105,-87.46912119387058,9.997028002865298e-07
23,0.0,-215.99809301910318,43.0,-27.99335895487071,-27.996385979288036,3.123373158323501e-06
24,0.0,-328.6202804155423,60.0,-4.692323386448265,-5943.74717398781,4.1135148710353075e-07
25,0.14236933708190913,-197.8218652788314,33.0,-0.00011067939682218864,-3022.535377169126,5.049041094128843e-07
26,0.04118233680725097,-234.81417996865073,43.0,0.00044406659637136886,-1472.6768095012708,1.476118737379134e-07
27,0.07499567985534668,-614.8246950035234,111.0,5.3637718203436435e-05,-1558.8262155961136,1.5335357335455933e-07
28,0.14751299858093259,-476.50454151948276,81.0,-0.00021055521954849166,-924.4655933082263,3.7221813980933946e-07
29,0.11209839820861817,-454.317257094508,84.0,-0.000303481468781833,-1238.8591939713617,2.3372841068000122e-07
30,0.05103346824645996,-442.65469918638246,81.0,-0.00039734308443528654,-629.5083070550018,2.587359828104749e-07
31,0.042817583084106436,-382.6236078426482,67.0,0.00012484040291796394,-1090.1891511084796,1.5835367487480062e-07
32,0.045223245620727534,-555.3676789783503,107.0,-0.0008764553792575142,-984.7678770418638,5.945908273742631e-08
33,0.21804196357727051,-300.94851068047205,56.0,4.061071295691221e-05,-171.69646656844415,9.074161883240991e-07
34,0.0,-480.76119645139823,91.0,-58.3081006809286,-552.2550986651137,1.367693967201283e-06
35,0.10794985771179197,-479.45834486765926,91.0,-0.0001611038082796057,-63.83837406490923,1.8813428846378624e-07
36,0.11769524574279785,-413.7582006786948,76.0,-0.00017283109048292787,-210.36620181329843,4.305308094985219e-07
37,0.0,-421.3111602238676,78.0,-16.293982251902616,-96.57600543109682,9.559306454474794e-07
38,0.09083453178405759,-367.350991907431,65.0,-3.882512652486625e-05,-46.34975447686215,3.511204948354462e-07
39,0.058716859817504886,-378.34560131547215,69.0,-0.0002412188613238886,-91.31341685168441,2.832758872487345e-07
40,0.026712484359741204,-448.2017989668728,85.0,0.0005076817221379663,-431.5949018808354,5.6274706146767237e-08
41,0.0,-474.6552384900884,85.0,-7.788860281508254,-894.9527942444607,1.8840701359101253e-06
42,0.00449315071105957,-653.6376024996015,114.0,-0.0004545790833427165,-837.7976224520587,2.6665063104320835e-07
43,0.12720082283020018,-589.2447362336432,104.0,-0.00017881386616891426,-190.40874979107284,3.118160135506358e-07
44,0.04142214775085448,-523.9871560623209,93.0,-0.0008912195450271073,-334.23765539658376,8.879575426974315e-08
